1.000000	1.000000	2702
1.000000	0.100000	3164.5
1.000000	0.010000	1454.4
1.000000	0.001000	998.9
1.000000	0.000100	840.4
1.000000	0.000010	705
1.000000	0.000001	1036.2
0.100000	1.000000	3164.5
0.100000	0.100000	1454.4
0.100000	0.010000	998.9
0.100000	0.001000	840.4
0.100000	0.000100	705
0.100000	0.000010	1036.2
0.100000	0.000001	4674
0.010000	1.000000	1454.4
0.010000	0.100000	998.9
0.010000	0.010000	840.4
0.010000	0.001000	705
0.010000	0.000100	1036.2
0.010000	0.000010	4674
0.010000	0.000001	3139.2
0.001000	1.000000	998.9
0.001000	0.100000	840.4
0.001000	0.010000	705
0.001000	0.001000	1036.2
0.001000	0.000100	4674
0.001000	0.000010	3139.2
0.001000	0.000001	1285.2
0.000100	1.000000	840.4
0.000100	0.100000	705
0.000100	0.010000	1036.2
0.000100	0.001000	4674
0.000100	0.000100	3139.2
0.000100	0.000010	1285.2
0.000100	0.000001	1001.8
0.000010	1.000000	705
0.000010	0.100000	1036.2
0.000010	0.010000	4674
0.000010	0.001000	3139.2
0.000010	0.000100	1285.2
0.000010	0.000010	1001.8
0.000010	0.000001	837.2
0.000001	1.000000	1036.2
0.000001	0.100000	4674
0.000001	0.010000	3139.2
0.000001	0.001000	1285.2
0.000001	0.000100	1001.8
0.000001	0.000010	837.2
0.000001	0.000001	759.3
